element,isotope,state,cooling time,isotope % dose,pathway,pathway % dose,Scenario,Spectrum,Material,Dose threshold
Sc,46,,11.6 d,95.14622714,"Ti46 -(n,p)-> Sc46",61.49681245,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.14622714,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",22.96639631,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.14622714,"Ti47 -(n,np)-> Sc46",8.512732942,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,48,,11.6 d,4.533006692,"Ti48 -(n,p)-> Sc48",4.462155797,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,11.6 d,95.14622714,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",1.215017321,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,48,,11.6 d,4.533006692,"V51 -(n,a)-> Sc48",0.06083295,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.88221241,"Ti46 -(n,p)-> Sc46",64.55786917,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.88221241,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",24.10956843,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.88221241,"Ti47 -(n,np)-> Sc46",8.936461544,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,30 d,99.88221241,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",1.275495852,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.75427058,"Ti46 -(n,p)-> Sc46",64.47517525,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.75427058,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",24.07868583,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.75427058,"Ti47 -(n,np)-> Sc46",8.925014589,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,180 d,99.75427058,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",1.273862035,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.66753272,"Ti46 -(n,p)-> Sc46",64.4191131,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.66753272,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",24.05774905,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.66753272,"Ti47 -(n,np)-> Sc46",8.917254152,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,230 d,99.66753272,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",1.272754393,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,1 y,99.24558963,"Ti46 -(n,p)-> Sc46",64.1463944,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,1 y,99.24558963,"Ti46 -(n,p)-> Sc46m -(IT)-> Sc46",23.95590042,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,1 y,99.24558963,"Ti47 -(n,np)-> Sc46",8.879502904,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Sc,46,,1 y,99.24558963,"Ti47 -(n,np)-> Sc46m -(IT)-> Sc46",1.26736618,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Al,26,,10 y,83.51079884,"Al27 -(n,2n)-> Al26",83.50829351,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Fe,55,,10 y,5.534828773,"Fe56 -(n,2n)-> Fe55",5.408191891,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Na,22,,10 y,5.681338946,"Al27 -(n,na)-> Na23 -(n,2n)-> Na22",4.701421605,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Mn,54,,10 y,4.765921678,"Fe54 -(n,p)-> Mn54",4.686855037,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Na,22,,10 y,5.681338946,"Al27 -(n,2n)-> Al26 -(n,na)-> Na22",0.963100578,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Fe,55,,10 y,5.534828773,"Fe54 -(n,g)-> Fe55",0.130179173,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
Mn,54,,10 y,4.765921678,"Fe54 -(n,np)-> Mn53 -(n,g)-> Mn54",0.039175876,SA2,500MW_First_Wall,"Titanium Alloy, Grade 5",99
W,187,,24 h,91.82950744,"W186 -(n,g)-> W187",91.82767085,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",3.547393684,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",2.068893636,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W182 -(n,p)-> Ta182",0.397267835,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",0.322533609,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.185753125,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.181898405,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",0.142532246,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.122496895,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"Ta181 -(n,g)-> Ta182",0.099622968,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.083098476,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,24 h,6.800202591,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.058141732,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.023660769,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.023167143,SA2,500MW_First_Wall,W with impurities,99
Re,184,,24 h,0.554635946,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.015601909,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",44.9263252,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",26.20171219,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W182 -(n,p)-> Ta182",5.031238581,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",4.08475943,SA2,500MW_First_Wall,W with impurities,99
W,181,,11.6 d,2.909587151,"W182 -(n,2n)-> W181",2.781856275,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",2.093367225,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",2.049925995,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",1.805114013,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",1.380493522,SA2,500MW_First_Wall,W with impurities,99
Co,60,,11.6 d,2.209225817,"Co59 -(n,g)-> Co60m -(IT)-> Co60",1.346302213,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"Ta181 -(n,g)-> Ta182",1.261685129,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.052409029,SA2,500MW_First_Wall,W with impurities,99
Co,60,,11.6 d,2.209225817,"Co59 -(n,g)-> Co60",0.811868395,SA2,500MW_First_Wall,W with impurities,99
W,187,,11.6 d,0.776572696,"W186 -(n,g)-> W187",0.776557165,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,11.6 d,86.12185178,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.736341833,SA2,500MW_First_Wall,W with impurities,99
Hf,181,,11.6 d,0.273457212,"W184 -(n,a)-> Hf181",0.269163934,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.266647893,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.261084915,SA2,500MW_First_Wall,W with impurities,99
Re,184,,11.6 d,6.250536637,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.175827596,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,11.6 d,0.340089439,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.128135498,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,11.6 d,0.340089439,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.125472598,SA2,500MW_First_Wall,W with impurities,99
W,181,,11.6 d,2.909587151,"W180 -(n,g)-> W181",0.111204421,SA2,500MW_First_Wall,W with impurities,99
Co,58,,11.6 d,0.326534059,"Ni58 -(n,p)-> Co58",0.100722696,SA2,500MW_First_Wall,W with impurities,99
Co,58,,11.6 d,0.326534059,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",0.088320932,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,11.6 d,0.340089439,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.084498622,SA2,500MW_First_Wall,W with impurities,99
Co,58,,11.6 d,0.326534059,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.084360074,SA2,500MW_First_Wall,W with impurities,99
Co,58,,11.6 d,0.326534059,"Co59 -(n,2n)-> Co58",0.05148789,SA2,500MW_First_Wall,W with impurities,99
Co,60,,11.6 d,2.209225817,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.023616624,SA2,500MW_First_Wall,W with impurities,99
Co,60,,11.6 d,2.209225817,"Ni60 -(n,p)-> Co60",0.016547101,SA2,500MW_First_Wall,W with impurities,99
Hf,181,,11.6 d,0.273457212,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,p)-> Hf181",0.001676293,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",45.77995897,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",26.69956431,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W182 -(n,p)-> Ta182",5.126835876,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",4.162372913,SA2,500MW_First_Wall,W with impurities,99
W,181,,30 d,2.981995883,"W182 -(n,2n)-> W181",2.851086264,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",1.839412529,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",1.759100402,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",1.722595825,SA2,500MW_First_Wall,W with impurities,99
Co,60,,30 d,2.499291303,"Co59 -(n,g)-> Co60m -(IT)-> Co60",1.52306812,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"Ta181 -(n,g)-> Ta182",1.285658089,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",1.160057672,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.072405587,SA2,500MW_First_Wall,W with impurities,99
Co,60,,30 d,2.499291303,"Co59 -(n,g)-> Co60",0.918464561,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,30 d,87.75823136,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.750332878,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.224069819,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.219395132,SA2,500MW_First_Wall,W with impurities,99
Re,184,,30 d,5.252457084,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.147751618,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,30 d,0.359198078,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.13533506,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,30 d,0.359198078,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.132522539,SA2,500MW_First_Wall,W with impurities,99
W,181,,30 d,2.981995883,"W180 -(n,g)-> W181",0.113971883,SA2,500MW_First_Wall,W with impurities,99
Co,58,,30 d,0.310515931,"Ni58 -(n,p)-> Co58",0.095781744,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,30 d,0.359198078,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.089246354,SA2,500MW_First_Wall,W with impurities,99
Co,58,,30 d,0.310515931,"Ni58 -(n,p)-> Co58m -(IT)-> Co58",0.083988349,SA2,500MW_First_Wall,W with impurities,99
Co,58,,30 d,0.310515931,"Co59 -(n,2n)-> Co58m -(IT)-> Co58",0.080221791,SA2,500MW_First_Wall,W with impurities,99
Co,58,,30 d,0.310515931,"Co59 -(n,2n)-> Co58",0.048962152,SA2,500MW_First_Wall,W with impurities,99
Co,60,,30 d,2.499291303,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.026717424,SA2,500MW_First_Wall,W with impurities,99
Co,60,,30 d,2.499291303,"Ni60 -(n,p)-> Co60",0.018719692,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",45.65917954,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",26.62912392,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W182 -(n,p)-> Ta182",5.113309951,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",4.151391492,SA2,500MW_First_Wall,W with impurities,99
Co,60,,180 d,5.848105513,"Co59 -(n,g)-> Co60m -(IT)-> Co60",3.5638355,SA2,500MW_First_Wall,W with impurities,99
W,181,,180 d,3.118085814,"W182 -(n,2n)-> W181",2.981201847,SA2,500MW_First_Wall,W with impurities,99
Co,60,,180 d,5.848105513,"Co59 -(n,g)-> Co60",2.149120295,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",1.834559681,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"Ta181 -(n,g)-> Ta182",1.282266189,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.069576303,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,180 d,87.52670234,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.748353305,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.696374594,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.681923537,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.459231713,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,180 d,0.477626351,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.17995528,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,180 d,0.477626351,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.176215466,SA2,500MW_First_Wall,W with impurities,99
W,181,,180 d,3.118085814,"W180 -(n,g)-> W181",0.11917324,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,180 d,0.477626351,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.118671043,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.088702458,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.086851891,SA2,500MW_First_Wall,W with impurities,99
Co,60,,180 d,5.848105513,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.062516248,SA2,500MW_First_Wall,W with impurities,99
Re,184,,180 d,2.079288747,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.058490392,SA2,500MW_First_Wall,W with impurities,99
Co,60,,180 d,5.848105513,"Ni60 -(n,p)-> Co60",0.04380231,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",44.78259581,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",26.11788703,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W182 -(n,p)-> Ta182",5.015142521,SA2,500MW_First_Wall,W with impurities,99
Co,60,,230 d,7.618173348,"Co59 -(n,g)-> Co60m -(IT)-> Co60",4.642514838,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",4.071691369,SA2,500MW_First_Wall,W with impurities,99
W,181,,230 d,3.106155942,"W182 -(n,2n)-> W181",2.969795696,SA2,500MW_First_Wall,W with impurities,99
Co,60,,230 d,7.618173348,"Co59 -(n,g)-> Co60",2.799602524,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",1.799339049,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"Ta181 -(n,g)-> Ta182",1.257648715,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",1.049042136,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,230 d,85.84632867,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.73398611,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.647353915,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.633920128,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.426904499,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,230 d,0.515482536,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.194218355,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,230 d,0.515482536,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.190182127,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,230 d,0.515482536,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.128076791,SA2,500MW_First_Wall,W with impurities,99
W,181,,230 d,3.106155942,"W180 -(n,g)-> W181",0.11871728,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.082458326,SA2,500MW_First_Wall,W with impurities,99
Co,60,,230 d,7.618173348,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.081438273,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.080738028,SA2,500MW_First_Wall,W with impurities,99
Co,60,,230 d,7.618173348,"Ni60 -(n,p)-> Co60",0.057060118,SA2,500MW_First_Wall,W with impurities,99
Re,184,,230 d,1.932919038,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.054373013,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",40.82604071,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W182 -(n,2n)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",23.81036427,SA2,500MW_First_Wall,W with impurities,99
Co,60,,1 y,14.98180612,"Co59 -(n,g)-> Co60m -(IT)-> Co60",9.129912648,SA2,500MW_First_Wall,W with impurities,99
Co,60,,1 y,14.98180612,"Co59 -(n,g)-> Co60",5.50566393,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W182 -(n,p)-> Ta182",4.57205325,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W182 -(n,p)-> Ta182m -(IT)-> Ta182",3.711956276,SA2,500MW_First_Wall,W with impurities,99
W,181,,1 y,2.953668761,"W182 -(n,2n)-> W181",2.824002702,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182",1.640366931,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"Ta181 -(n,g)-> Ta182",1.146535093,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"W180 -(n,g)-> W181 -(b+)-> Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.956358965,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.672012238,SA2,500MW_First_Wall,W with impurities,99
Ta,182,,1 y,78.26178107,"Ta181 -(n,g)-> Ta182m -(IT)-> Ta182",0.669138228,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.658066745,SA2,500MW_First_Wall,W with impurities,99
Ag,110,m,1 y,0.611615935,"Ag109 -(n,g)-> Ag110m",0.608778037,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184",0.443165695,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,1 y,0.609063668,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.229476918,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,1 y,0.609063668,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.22470795,SA2,500MW_First_Wall,W with impurities,99
Co,60,,1 y,14.98180612,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",0.160155507,SA2,500MW_First_Wall,W with impurities,99
Re,184,m,1 y,0.609063668,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m",0.151327959,SA2,500MW_First_Wall,W with impurities,99
W,181,,1 y,2.953668761,"W180 -(n,g)-> W181",0.11288922,SA2,500MW_First_Wall,W with impurities,99
Co,60,,1 y,14.98180612,"Ni60 -(n,p)-> Co60",0.112213728,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W186 -(n,2n)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.085599242,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W184 -(n,g)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.083813416,SA2,500MW_First_Wall,W with impurities,99
Re,184,,1 y,2.006545754,"W186 -(n,2n)-> W185m -(IT)-> W185 -(b-)-> Re185 -(n,2n)-> Re184m -(IT)-> Re184",0.056444132,SA2,500MW_First_Wall,W with impurities,99
Co,60,,10 y,99.7509522,"Co59 -(n,g)-> Co60m -(IT)-> Co60",60.78823027,SA2,500MW_First_Wall,W with impurities,99
Co,60,,10 y,99.7509522,"Co59 -(n,g)-> Co60",36.65747742,SA2,500MW_First_Wall,W with impurities,99
Co,60,,10 y,99.7509522,"Ni60 -(n,p)-> Co60m -(IT)-> Co60",1.066337679,SA2,500MW_First_Wall,W with impurities,99
Co,60,,10 y,99.7509522,"Ni60 -(n,p)-> Co60",0.747134632,SA2,500MW_First_Wall,W with impurities,99
